,AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,COD_TIP_CUR,COD_DES_CUR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,COD_REG_ALU,COD_COM_ALU,NOM_COM_ALU,COD_SEC,COD_ESPE,COD_RAMA,ENS
166806,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,1004795,1,200501,13,4,4101,LA SERENA,0,0,0,3
166807,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,4632444,2,200407,13,4,4101,LA SERENA,0,0,0,3
166808,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,4711882,2,200407,13,4,4101,LA SERENA,0,0,0,3
166809,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,6030614,2,200603,12,4,4101,LA SERENA,0,0,0,3
166810,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,6119259,2,200606,12,4,4101,LA SERENA,0,0,0,3
166811,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,8032851,1,200301,15,4,4101,LA SERENA,0,0,0,3
166812,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,8152318,1,200411,13,4,4101,LA SERENA,0,0,0,3
166813,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,9450792,1,200605,12,4,4101,LA SERENA,0,0,0,3
166814,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,11559222,1,200505,13,4,4101,LA SERENA,0,0,0,3
166815,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,13021634,1,200606,12,4,4203,LOS VILOS,0,0,0,3
166816,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,13602820,2,200511,12,4,4101,LA SERENA,0,0,0,3
166817,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,14171033,2,200601,12,4,4101,LA SERENA,0,0,0,3
166818,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,15458358,2,200403,14,4,4101,LA SERENA,0,0,0,3
166819,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,17176068,2,200512,12,4,4101,LA SERENA,0,0,0,3
166820,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,18446427,1,200503,13,4,4102,COQUIMBO,0,0,0,3
166821,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,19631801,1,200605,12,4,4102,COQUIMBO,0,0,0,3
166822,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,20398934,2,200603,12,4,4101,LA SERENA,0,0,0,3
166823,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,21579356,1,200603,12,4,4101,LA SERENA,0,0,0,3
166824,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,21955020,1,200601,12,4,4101,LA SERENA,0,0,0,3
166825,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,22110590,2,200511,12,4,4101,LA SERENA,0,0,0,3
166826,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,22476227,2,200411,13,4,4101,LA SERENA,0,0,0,3
166827,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,25594256,1,200412,13,4,4101,LA SERENA,0,0,0,3
166828,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,25604952,1,200510,12,4,4101,LA SERENA,0,0,0,3
166829,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,25608521,1,200603,12,4,4101,LA SERENA,0,0,0,3
166830,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,25626105,1,200401,14,4,4102,COQUIMBO,0,0,0,3
166831,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,468100,2,200507,12,4,4101,LA SERENA,0,0,0,3
166832,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,1485476,2,200411,13,4,4101,LA SERENA,0,0,0,3
166833,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,2395158,1,200507,12,4,4101,LA SERENA,0,0,0,3
166834,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,5992874,1,200309,14,4,4101,LA SERENA,0,0,0,3
166835,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,6166867,1,200309,14,4,4101,LA SERENA,0,0,0,3
166836,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,10497012,2,200403,14,4,4101,LA SERENA,0,0,0,3
166837,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,11325931,1,200401,14,4,4101,LA SERENA,0,0,0,3
166838,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,11930668,1,200204,16,4,4102,COQUIMBO,0,0,0,3
166839,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,12479364,1,200309,14,4,4101,LA SERENA,0,0,0,3
166840,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,14206737,2,200210,15,4,4101,LA SERENA,0,0,0,3
166841,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,14398957,1,200303,15,4,4102,COQUIMBO,0,0,0,3
166842,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,14917397,1,200408,13,4,4101,LA SERENA,0,0,0,3
166843,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,15331083,2,200310,14,4,4101,LA SERENA,0,0,0,3
166844,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,15994586,2,200303,15,4,4106,VICUÑA,0,0,0,3
166845,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,18728286,1,200512,12,4,4101,LA SERENA,0,0,0,3
166846,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,18972617,1,200504,13,4,4101,LA SERENA,0,0,0,3
166847,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,19018114,1,200403,14,4,4101,LA SERENA,0,0,0,3
166848,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,22613156,2,200506,13,4,4106,VICUÑA,0,0,0,3
166849,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,22982814,2,200410,13,4,4101,LA SERENA,0,0,0,3
166850,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,24014882,1,200303,15,4,4101,LA SERENA,0,0,0,3
166851,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,B,3,0,0,24906026,2,200509,12,4,4101,LA SERENA,0,0,0,3
166852,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,1878408,2,200503,13,4,4101,LA SERENA,0,0,0,3
166853,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,2882867,1,200403,14,4,4101,LA SERENA,0,0,0,3
166854,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,4586417,2,200503,13,4,4101,LA SERENA,0,0,0,3
166855,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,9116240,2,200208,15,4,4101,LA SERENA,0,0,0,3
166856,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,9333484,1,200405,14,4,4101,LA SERENA,0,0,0,3
166857,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,9673076,2,200306,15,4,4102,COQUIMBO,0,0,0,3
166858,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,10678013,1,200304,15,4,4101,LA SERENA,0,0,0,3
166859,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,11704433,1,200309,14,4,4101,LA SERENA,0,0,0,3
166860,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,12307946,1,200410,13,4,4101,LA SERENA,0,0,0,3
166861,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,13432268,1,200303,15,4,4102,COQUIMBO,0,0,0,3
166862,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,14619753,1,200207,15,4,4101,LA SERENA,0,0,0,3
166863,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,15573230,1,200403,14,4,4101,LA SERENA,0,0,0,3
166864,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,16046587,1,200407,13,4,4101,LA SERENA,0,0,0,3
166865,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,16456318,1,200505,13,4,4101,LA SERENA,0,0,0,3
166866,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,16998642,2,200401,14,4,4101,LA SERENA,0,0,0,3
166867,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,17144952,2,200502,13,4,4101,LA SERENA,0,0,0,3
166868,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,17305771,1,200303,15,4,4102,COQUIMBO,0,0,0,3
166869,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,18202289,1,200412,13,4,4101,LA SERENA,0,0,0,3
166870,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,20113041,1,200407,13,4,4101,LA SERENA,0,0,0,3
166871,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,20747771,2,200410,13,4,4101,LA SERENA,0,0,0,3
166872,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,23563970,2,200409,13,4,4101,LA SERENA,0,0,0,3
166873,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,24546409,2,200501,13,4,4102,COQUIMBO,0,0,0,3
166874,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,25498760,1,200401,14,4,4101,LA SERENA,0,0,0,3
166875,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,A,3,0,0,25524763,1,200605,12,4,4101,LA SERENA,0,0,0,3
166876,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,B,3,0,0,2825470,1,200312,14,4,4101,LA SERENA,0,0,0,3
166877,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,B,3,0,0,4384736,2,200206,16,4,4101,LA SERENA,0,0,0,3
166878,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,B,3,0,0,5817990,2,200412,13,4,4101,LA SERENA,0,0,0,3
166879,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,B,3,0,0,6418927,1,200308,14,4,4101,LA SERENA,0,0,0,3
166880,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,B,3,0,0,8688062,1,200501,13,4,4102,COQUIMBO,0,0,0,3
166881,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,B,3,0,0,9925464,1,200110,16,4,4101,LA SERENA,0,0,0,3
166882,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,B,3,0,0,10187095,1,200411,13,4,4101,LA SERENA,0,0,0,3
166883,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,B,3,0,0,11087081,1,200401,14,4,4106,VICUÑA,0,0,0,3
166884,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,B,3,0,0,12495152,2,200501,13,4,4102,COQUIMBO,0,0,0,3
166885,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,B,3,0,0,16628865,1,200212,15,4,4101,LA SERENA,0,0,0,3
166886,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,B,3,0,0,20474516,1,200307,14,4,4101,LA SERENA,0,0,0,3
166887,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,B,3,0,0,21510824,2,200407,13,4,4102,COQUIMBO,0,0,0,3
166888,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,B,3,0,0,22217994,2,200501,13,4,4101,LA SERENA,0,0,0,3
166889,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,B,3,0,0,23747420,1,200504,13,4,4101,LA SERENA,0,0,0,3
166890,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,C,3,0,0,6817297,1,200305,15,4,4102,COQUIMBO,0,0,0,3
166891,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,C,3,0,0,8419405,1,200301,15,4,4101,LA SERENA,0,0,0,3
166892,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,C,3,0,0,8597186,1,200307,14,4,4102,COQUIMBO,0,0,0,3
166893,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,C,3,0,0,9454797,1,200407,13,4,4101,LA SERENA,0,0,0,3
166894,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,C,3,0,0,9834896,2,200207,15,4,4101,LA SERENA,0,0,0,3
166895,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,C,3,0,0,11471380,2,200404,14,4,4101,LA SERENA,0,0,0,3
166896,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,C,3,0,0,12057601,1,200304,15,4,4101,LA SERENA,0,0,0,3
166897,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,C,3,0,0,12630770,1,200403,14,4,4101,LA SERENA,0,0,0,3
166898,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,C,3,0,0,12902067,2,200202,16,4,4101,LA SERENA,0,0,0,3
166899,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,C,3,0,0,13088772,1,200306,15,4,4101,LA SERENA,0,0,0,3
166900,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,C,3,0,0,18042793,1,200401,14,4,4101,LA SERENA,0,0,0,3
166901,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,C,3,0,0,20544898,1,200409,13,4,4101,LA SERENA,0,0,0,3
166902,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,C,3,0,0,20718537,1,200401,14,4,4102,COQUIMBO,0,0,0,3
166903,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,C,3,0,0,21187825,1,200208,15,4,4101,LA SERENA,0,0,0,3
166904,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,C,3,0,0,22092959,2,200312,14,4,4101,LA SERENA,0,0,0,3
166905,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,8,8,C,3,0,0,23632974,1,200206,16,4,4101,LA SERENA,0,0,0,3
166906,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,A,3,0,0,1375918,1,200112,16,4,4101,LA SERENA,0,0,0,5
166907,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,A,3,0,0,4017654,1,200402,14,4,4101,LA SERENA,0,0,0,5
166908,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,A,3,0,0,7407294,2,200301,15,4,4101,LA SERENA,0,0,0,5
166909,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,A,3,0,0,9073896,1,200204,16,4,4101,LA SERENA,0,0,0,5
166910,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,A,3,0,0,9726526,1,200310,14,4,4101,LA SERENA,0,0,0,5
166911,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,A,3,0,0,10258292,2,200312,14,4,4102,COQUIMBO,0,0,0,5
166912,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,A,3,0,0,15840947,1,200309,14,4,4101,LA SERENA,0,0,0,5
166913,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,A,3,0,0,16108325,2,200404,14,4,4101,LA SERENA,0,0,0,5
166914,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,A,3,0,0,16820934,2,200302,15,3,3301,VALLENAR,0,0,0,5
166915,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,A,3,0,0,18236862,2,200301,15,4,4101,LA SERENA,0,0,0,5
166916,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,A,3,0,0,22092818,1,200301,15,4,4102,COQUIMBO,0,0,0,5
166917,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,A,3,0,0,24915602,2,200310,14,4,4101,LA SERENA,0,0,0,5
166918,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,B,3,0,0,531804,1,200207,15,4,4101,LA SERENA,0,0,0,5
166919,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,B,3,0,0,616866,1,200305,15,4,4101,LA SERENA,0,0,0,5
166920,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,B,3,0,0,1092632,2,200106,17,4,4101,LA SERENA,0,0,0,5
166921,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,B,3,0,0,3956211,2,200209,15,4,4101,LA SERENA,0,0,0,5
166922,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,B,3,0,0,4828179,2,200309,14,4,4101,LA SERENA,0,0,0,5
166923,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,B,3,0,0,5191146,2,200202,16,4,4104,LA HIGUERA,0,0,0,5
166924,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,41,4101,LA SERENA,41,ELQUI,1,1,0,1,310,5,4,1,1,B,3,0,0,7460586,2,200304,15,4,4102,COQUIMBO,0,0,0,5
